,Census Tract,Percent Unemployed,Supervisor District,Area Name
0,6037101110,4.5,District 5,Tujunga
1,6037101122,6.1,District 5,Tujunga
2,6037101220,5.6,District 5,Tujunga
3,6037101221,1.9,District 5,Tujunga
4,6037101222,3.8,District 5,Tujunga
5,6037101300,4.7,District 5,Tujunga
6,6037101400,6.8,District 5,Tujunga
7,6037102103,4.4,District 5,Sun Valley
8,6037102104,3.4,District 5,Sun Valley
9,6037102105,1.6,District 5,Sun Valley
10,6037102107,4.7,District 5,Sunland
11,6037103101,5.8,District 5,Sunland
12,6037103102,7.0,District 5,Sunland
13,6037103201,5.3,District 5,Sunland
14,6037103202,2.9,District 5,Lakeview Terrace
15,6037103300,4.8,District 5,Shadow Hills
16,6037103401,5.4,District 5,Sunland
17,6037103402,2.0,District 5,Sunland
18,6037104103,6.1,District 5,Lakeview Terrace
19,6037104105,4.8,District 3,Pacoima
20,6037104108,2.5,District 3,Pacoima
21,6037104124,7.0,District 5,Unincorporated - Kagel/Lopez Canyons
22,6037104201,6.2,District 3,Pacoima
23,6037104203,6.0,District 3,Pacoima
24,6037104204,2.1,District 5,Lakeview Terrace
